Distance (km),Loss (dB)
0.005441,42.756000
0.005446,42.755000
0.005451,42.754000
0.005456,42.753000
0.005462,42.752000
0.005467,42.750000
0.005472,42.749000
0.005477,42.747000
0.005482,42.745000
0.005487,42.743000
0.005492,42.742000
0.005497,42.741000
0.005502,42.739000
0.005507,42.738000
0.005512,42.736000
0.005518,42.734000
0.005523,42.732000
0.005528,42.730000
0.005533,42.728000
0.005538,42.726000
0.005543,42.724000
0.005548,42.723000
0.005553,42.721000
0.005558,42.719000
0.005563,42.718000
0.005569,42.716000
0.005574,42.714000
0.005579,42.712000
0.005584,42.711000
0.005589,42.710000
0.005594,42.708000
0.005599,42.707000
0.005604,42.705000
0.005609,42.704000
0.005614,42.702000
0.005619,42.700000
0.005625,42.699000
0.005630,42.697000
0.005635,42.695000
0.005640,42.693000
0.005645,42.690000
0.005650,42.687000
0.005655,42.685000
0.005660,42.683000
0.005665,42.682000
0.005670,42.681000
0.005675,42.679000
0.005681,42.678000
0.005686,42.676000
0.005691,42.674000
0.005696,42.672000
0.005701,42.670000
0.005706,42.668000
0.005711,42.667000
0.005716,42.665000
0.005721,42.662000
0.005726,42.661000
0.005732,42.659000
0.005737,42.657000
0.005742,42.655000
0.005747,42.654000
0.005752,42.652000
0.005757,42.651000
0.005762,42.649000
0.005767,42.648000
0.005772,42.645000
0.005777,42.643000
0.005782,42.642000
0.005788,42.640000
0.005793,42.638000
0.005798,42.636000
0.005803,42.634000
0.005808,42.632000
0.005813,42.631000
0.005818,42.630000
0.005823,42.629000
0.005828,42.627000
0.005833,42.626000
0.005839,42.625000
0.005844,42.624000
0.005849,42.622000
0.005854,42.621000
0.005859,42.619000
0.005864,42.616000
0.005869,42.614000
0.005874,42.611000
0.005879,42.610000
0.005884,42.608000
0.005889,42.608000
0.005895,42.606000
0.005900,42.604000
0.005905,42.602000
0.005910,42.599000
0.005915,42.597000
0.005920,42.595000
0.005925,42.593000
0.005930,42.591000
0.005935,42.589000
0.005940,42.587000
0.005946,42.585000
0.005951,42.584000
0.005956,42.582000
